CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.02.05;Ações em Tesouraria;-339636.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.02.05;Ações em Tesouraria;-280642.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.03;Reservas de Reavaliação;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.03;Reservas de Reavaliação;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.04;Reservas de Lucros;53814656.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.04;Reservas de Lucros;39198468.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.04.01;Reserva Legal;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.04.01;Reserva Legal;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.04.02;Reserva Estatutária;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.04.02;Reserva Estatutária;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.04.03;Reserva para Contingências;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.04.03;Reserva para Contingências;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.04.04;Reserva de Lucros a Realizar;53814656.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.04.04;Reserva de Lucros a Realizar;39198468.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.04.05;Reserva de Retenção de Lucros;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.04.05;Reserva de Retenção de Lucros;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.04.06;Reserva Especial para Dividendos Não Distribuídos;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.04.06;Reserva Especial para Dividendos Não Distribuídos;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.04.07;Reserva de Incentivos Fiscais;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.04.07;Reserva de Incentivos Fiscais;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.04.08;Dividendo Adicional Proposto;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.04.08;Dividendo Adicional Proposto;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.04.09;Ações em Tesouraria;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.04.09;Ações em Tesouraria;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.05;Lucros/Prejuízos Acumulados;-4046637.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.05;Lucros/Prejuízos Acumulados;-4447316.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.06;Ajustes de Avaliação Patrimonial;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.06;Ajustes de Avaliação Patrimonial;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.07;Ajustes Acumulados de Conversão;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.07;Ajustes Acumulados de Conversão;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.01.08;Outros Resultados Abrangentes;-23386544.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.01.08;Outros Resultados Abrangentes;-14096369.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.07.02;Patrimônio Líquido Atribuído aos Não Controladores;2236641.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.07.02;Patrimônio Líquido Atribuído aos Não Controladores;2761512.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2;Passivo Total;17065850.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2;Passivo Total;25496999.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01;Passivos Financeiros Avaliados ao Valor Justo através do Resultado;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01;Passivos Financeiros Avaliados ao Valor Justo através do Resultado;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.02;Passivos Financeiros ao Custo Amortizado;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.02;Passivos Financeiros ao Custo Amortizado;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.02.01;Depósitos;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.02.01;Depósitos;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.02.02;Captações no Mercado Aberto;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.02.02;Captações no Mercado Aberto;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.02.03;Recursos Mercado Interfinanceiro;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.02.03;Recursos Mercado Interfinanceiro;0.0000000000;S
